pattern_id	nr_of_msds_in_pattern	pattern	freq	examples
P_hrLex_Ncn_20	14	Ncnsn: ~Ø, Ncnsg: ~va, Ncnsd: ~vu, Ncnsa: ~Ø, Ncnsv: ~Ø, Ncnsl: ~vu, Ncnsi: ~vom, Ncnpn: ~va, Ncnpg: ~va|~vâ, Ncnpd: ~vima, Ncnpa: ~va, Ncnpv: ~va, Ncnpl: ~vima, Ncnpi: ~vima	5	dopodne~~~Ncn, podne~~~Ncn, popodne~~~Ncn, poslijepodne~~~Ncn, prijepodne~~~Ncn
P_hrLex_Vm_65	28	Vmn: ~ijet|~ijeti, Vmp-sm: ~o, Vmp-sf: ~la, Vmp-sn: ~lo, Vmp-pm: ~li, Vmp-pf: ~le, Vmp-pn: ~la, Vmr1s: ~em, Vmr1p: ~emo, Vmr2s: ~eš, Vmr2p: ~ete, Vmr3s: ~e, Vmr3p: ~u, Vmm1p: ~imo, Vmm2s: ~i, Vmm2p: ~ite, Vma1s: ~ijeh, Vma1p: ~ijesmo, Vma2s: ~ije, Vma2p: ~ijeste, Vma3s: ~ije, Vma3p: ~iješe, Vme1s: ~ijeh, Vme1p: ~ijesmo, Vme2s: ~iješe, Vme2p: ~ijeste, Vme3s: ~iješe, Vme3p: ~ijehu	4	doprijeti~~~Vm, prodrijeti~~~Vm, umrijeti~~~Vm, uprijeti~~~Vm
P_hrLex_Vm_66	22	Vmn: ~ovat|~ovati, Vmp-sm: ~ovao, Vmp-sf: ~ovala, Vmp-sn: ~ovalo, Vmp-pm: ~ovali, Vmp-pf: ~ovale, Vmp-pn: ~ovala, Vmr1s: ~ujem, Vmr1p: ~ujemo, Vmr2s: ~uješ, Vmr2p: ~ujete, Vmr3s: ~uje, Vmr3p: ~uju, Vmm1p: ~ujmo, Vmm2s: ~uj, Vmm2p: ~ujte, Vma1s: ~ovah, Vma1p: ~ovasmo, Vma2s: ~ova, Vma2p: ~ovaste, Vma3s: ~ova, Vma3p: ~ovaše	42	preimenovati~~~Vm, izglasovati~~~Vm, doputovati~~~Vm, ispsovati~~~Vm, zakovati~~~Vm, iskovati~~~Vm, zapakovati~~~Vm, istrgovati~~~Vm, pokupovati~~~Vm, odžalovati~~~Vm
P_hrLex_Npm_95	14	Npmsn: ~o, Npmsg: ~a|~e, Npmsd: ~i|~u, Npmsay: ~a|~u, Npmsv: ~o, Npmsl: ~i|~u, Npmsi: ~om, Npmpn: ~i, Npmpg: ~a, Npmpd: ~ima, Npmpa: ~e, Npmpv: ~i, Npmpl: ~ima, Npmpi: ~ima	2	Doro~~~Npm, Pavo~~~Npm
P_hrLex_Vm_67	22	Vmn: ~t|~ti, Vmp-sm: ~tao, Vmp-sf: ~la, Vmp-sn: ~lo, Vmp-pm: ~li, Vmp-pf: ~le, Vmp-pn: ~la, Vmr1s: ~tem, Vmr1p: ~temo, Vmr2s: ~teš, Vmr2p: ~tete, Vmr3s: ~te, Vmr3p: ~tu, Vmm1p: ~timo, Vmm2s: ~ti, Vmm2p: ~tite, Vma1s: ~toh, Vma1p: ~tosmo, Vma2s: ~te, Vma2p: ~toste, Vma3s: ~te, Vma3p: ~toše	13	zarasti~~~Vm, prerasti~~~Vm, izrasti~~~Vm, dorasti~~~Vm, srasti~~~Vm, razrasti~~~Vm, odrasti~~~Vm, porasti~~~Vm, urasti~~~Vm, obrasti~~~Vm
P_hrLex_Ncf_43	14	Ncfsn: ~ba, Ncfsg: ~be, Ncfsd: ~bi, Ncfsa: ~bu, Ncfsv: ~bo, Ncfsl: ~bi, Ncfsi: ~bom, Ncfpn: ~be, Ncfpg: ~aba|~abâ|~ba|~bi|~bâ, Ncfpd: ~bama, Ncfpa: ~be, Ncfpv: ~be, Ncfpl: ~bama, Ncfpi: ~bama	48	priredba~~~Ncf, kosidba~~~Ncf, doselidba~~~Ncf, izvedba~~~Ncf, rješidba~~~Ncf, herba~~~Ncf, uredba~~~Ncf, jednadžba~~~Ncf, praizvedba~~~Ncf, optužba~~~Ncf
P_hrLex_Vm_68	22	Vmn: ~ut|~uti, Vmp-sm: ~uo, Vmp-sf: ~ula, Vmp-sn: ~ulo, Vmp-pm: ~uli, Vmp-pf: ~ule, Vmp-pn: ~ula, Vmr1s: ~pem, Vmr1p: ~pemo, Vmr2s: ~peš, Vmr2p: ~pete, Vmr3s: ~pe, Vmr3p: ~pu, Vmm1p: ~jmo, Vmm2s: ~j, Vmm2p: ~jte, Vma1s: ~uh, Vma1p: ~usmo, Vma2s: ~u, Vma2p: ~uste, Vma3s: ~u, Vma3p: ~uše	11	razasuti~~~Vm, nasuti~~~Vm, dosuti~~~Vm, usuti~~~Vm, rasuti~~~Vm, presuti~~~Vm, sasuti~~~Vm, prosuti~~~Vm, osuti~~~Vm, zasuti~~~Vm
P_hrLex_Vm_69	22	Vmn: ~tat|~tati, Vmp-sm: ~tao, Vmp-sf: ~tala, Vmp-sn: ~talo, Vmp-pm: ~tali, Vmp-pf: ~tale, Vmp-pn: ~tala, Vmr1s: ~ćem, Vmr1p: ~ćemo, Vmr2s: ~ćeš, Vmr2p: ~ćete, Vmr3s: ~će, Vmr3p: ~ću, Vmm1p: ~ćimo, Vmm2s: ~ći, Vmm2p: ~ćite, Vma1s: ~tah, Vma1p: ~tasmo, Vma2s: ~ta, Vma2p: ~taste, Vma3s: ~ta, Vma3p: ~taše	11	prošaputtati~~~Vm, ispremetati~~~Vm, doskakutati~~~Vm, prošettati~~~Vm, prošaputati~~~Vm, prosiktati~~~Vm, prošetati~~~Vm, prošaptati~~~Vm, izblebetati~~~Vm, zameketati~~~Vm
P_hrLex_Vm_70	22	Vmn: ~jet|~jeti, Vmp-sm: ~io, Vmp-sf: ~jela, Vmp-sn: ~jelo, Vmp-pm: ~jeli, Vmp-pf: ~jele, Vmp-pn: ~jela, Vmr1s: ~ijem, Vmr1p: ~ijemo, Vmr2s: ~iješ, Vmr2p: ~ijete, Vmr3s: ~ije, Vmr3p: ~iju, Vmm1p: ~ijmo, Vmm2s: ~ij, Vmm2p: ~ijte, Vma1s: ~jeh, Vma1p: ~jesmo, Vma2s: ~je, Vma2p: ~jeste, Vma3s: ~je, Vma3p: ~ješe	7	dospjeti~~~Vm, dozrjeti~~~Vm, prispjeti~~~Vm, sazrjeti~~~Vm, snabdjeti~~~Vm, sporazumjeti~~~Vm, uspjeti~~~Vm
P_hrLex_Vm_71	22	Vmn: ~ći, Vmp-sm: ~kao, Vmp-sf: ~kla, Vmp-sn: ~klo, Vmp-pm: ~kli, Vmp-pf: ~kle, Vmp-pn: ~kla, Vmr1s: ~knem|~čem, Vmr1p: ~knemo|~čemo, Vmr2s: ~kneš|~češ, Vmr2p: ~knete|~čete, Vmr3s: ~kne|~če, Vmr3p: ~knu|~ku, Vmm1p: ~cimo|~knimo, Vmm2s: ~ci|~kni, Vmm2p: ~cite|~knite, Vma1s: ~koh, Vma1p: ~kosmo, Vma2s: ~če, Vma2p: ~koste, Vma3s: ~če, Vma3p: ~koše	13	zateći~~~Vm, proreći~~~Vm, isteći~~~Vm, doteći~~~Vm, ureći~~~Vm, reći~~~Vm, oteći~~~Vm, priteći~~~Vm, uteći~~~Vm, odreći~~~Vm
P_hrLex_Vm_72	22	Vmn: ~st|~sti, Vmp-sm: ~ao, Vmp-sf: ~la, Vmp-sn: ~lo, Vmp-pm: ~li, Vmp-pf: ~le, Vmp-pn: ~la, Vmr1s: ~em, Vmr1p: ~emo, Vmr2s: ~eš, Vmr2p: ~ete, Vmr3s: ~e, Vmr3p: ~u, Vmm1p: ~imo, Vmm2s: ~i, Vmm2p: ~ite, Vma1s: ~oh, Vma1p: ~osmo, Vma2s: ~o, Vma2p: ~oste, Vma3s: ~o, Vma3p: ~oše	4	dotepsti~~~Vm, iscrpsti~~~Vm, otepsti~~~Vm, rastepsti~~~Vm
P_hrLex_Vm_73	22	Vmn: ~cat|~cati, Vmp-sm: ~cao, Vmp-sf: ~cala, Vmp-sn: ~calo, Vmp-pm: ~cali, Vmp-pf: ~cale, Vmp-pn: ~cala, Vmr1s: ~čem, Vmr1p: ~čemo, Vmr2s: ~češ, Vmr2p: ~čete, Vmr3s: ~če, Vmr3p: ~ču, Vmm1p: ~čimo, Vmm2s: ~či, Vmm2p: ~čite, Vme1s: ~cah, Vme1p: ~casmo, Vme2s: ~caše, Vme2p: ~caste, Vme3s: ~caše, Vme3p: ~cahu	46	proistjecati~~~Vm, klicati~~~Vm, doticati~~~Vm, iznicati~~~Vm, sticati~~~Vm, isticati~~~Vm, uzmicati~~~Vm, izricati~~~Vm, poricati~~~Vm, nicati~~~Vm
P_hrLex_Ncm_135	14	Ncmsn: ~Ø, Ncmsg: ~a, Ncmsd: ~u, Ncmsan: ~Ø, Ncmsv: ~u, Ncmsl: ~u, Ncmsi: ~em|~om, Ncmpn: ~i, Ncmpg: ~a|~â, Ncmpd: ~ima, Ncmpa: ~e, Ncmpv: ~i, Ncmpl: ~ima, Ncmpi: ~ima	15	suncostaj~~~Ncm, očaj~~~Ncm, interview~~~Ncm, doticaj~~~Ncm, uzgoj~~~Ncm, pištolj~~~Ncm, sadržaj~~~Ncm, repasaž~~~Ncm, pejzaž~~~Ncm, izvještaj~~~Ncm
P_hrLex_Vm_74	22	Vmn: ~at|~ati, Vmp-sm: ~ao, Vmp-sf: ~ala, Vmp-sn: ~alo, Vmp-pm: ~ali, Vmp-pf: ~ale, Vmp-pn: ~ala, Vmr1s: ~em, Vmr1p: ~emo, Vmr2s: ~eš, Vmr2p: ~ete, Vmr3s: ~e, Vmr3p: ~u, Vmm1p: ~mo, Vmm2s: ~Ø, Vmm2p: ~te, Vma1s: ~ah, Vma1p: ~asmo, Vma2s: ~a, Vma2p: ~aste, Vma3s: ~a, Vma3p: ~aše	33	zakašljati~~~Vm, nabrijati~~~Vm, dotrajati~~~Vm, iskašljati~~~Vm, usijati~~~Vm, pregrijati~~~Vm, isijati~~~Vm, preugrijati~~~Vm, preusijati~~~Vm, zalajati~~~Vm
P_hrLex_Ag_34	53	Agpmsnn: ~o, Agpmsny: ~li, Agpmsgn: ~la, Agpmsgy: ~log|~loga, Agpmsdn: ~lu, Agpmsdy: ~lom|~lome|~lomu, Agpmsann: ~o, Agpmsany: ~la, Agpmsayn: ~li, Agpmsayy: ~log|~loga, Agpmsvn: ~o, Agpmsvy: ~li, Agpmsln: ~lu, Agpmsly: ~lom|~lome|~lomu, Agpmsiy: ~lim, Agpmpny: ~li, Agpmpgy: ~lih, Agpmpdy: ~lim|~lima, Agpmpay: ~le, Agpmpvy: ~li, Agpmply: ~lim|~lima, Agpmpiy: ~lim|~lima, Agpfsny: ~la, Agpfsgy: ~le, Agpfsdy: ~loj, Agpfsay: ~lu, Agpfsvy: ~la, Agpfsly: ~loj, Agpfsiy: ~lom, Agpfpny: ~le, Agpfpgy: ~lih, Agpfpdy: ~lim|~lima, Agpfpay: ~le, Agpfpvy: ~le, Agpfply: ~lim|~lima, Agpfpiy: ~lim|~lima, Agpnsny: ~lo, Agpnsgn: ~la, Agpnsgy: ~log|~loga, Agpnsdn: ~lu, Agpnsdy: ~lom|~lome|~lomu, Agpnsay: ~lo, Agpnsvy: ~lo, Agpnsln: ~lu, Agpnsly: ~lom|~lome|~lomu, Agpnsiy: ~lim, Agpnpny: ~la, Agpnpgy: ~lih, Agpnpdy: ~lim|~lima, Agpnpay: ~la, Agpnpvy: ~la, Agpnply: ~lim|~lima, Agpnpiy: ~lim|~lima	43	pretruo~~~Ag, nastradao~~~Ag, dotrajao~~~Ag, izumro~~~Ag, uskrsnuo~~~Ag, ispucao~~~Ag, ustreptao~~~Ag, nastao~~~Ag, prekiseo~~~Ag, podivljao~~~Ag
P_hrLex_Vm_75	22	Vmn: ~at|~ati, Vmp-sm: ~ao, Vmp-sf: ~ala, Vmp-sn: ~alo, Vmp-pm: ~ali, Vmp-pf: ~ale, Vmp-pn: ~ala, Vmr1s: ~im, Vmr1p: ~imo, Vmr2s: ~iš, Vmr2p: ~ite, Vmr3s: ~i, Vmr3p: ~e, Vmm1p: ~imo, Vmm2s: ~i, Vmm2p: ~ite, Vma1s: ~ah, Vma1p: ~asmo, Vma2s: ~a, Vma2p: ~aste, Vma3s: ~a, Vma3p: ~aše	44	ubrojati~~~Vm, natrčati~~~Vm, dotrčati~~~Vm, nadtrčati~~~Vm, zaspati~~~Vm, izbrojati~~~Vm, zazujati~~~Vm, nasnimati~~~Vm, pritrčati~~~Vm, podržati~~~Vm
P_hrLex_Vm_76	22	Vmn: ~ći, Vmp-sm: ~kao, Vmp-sf: ~kla, Vmp-sn: ~klo, Vmp-pm: ~kli, Vmp-pf: ~kle, Vmp-pn: ~kla, Vmr1s: ~čem, Vmr1p: ~čemo, Vmr2s: ~češ, Vmr2p: ~čete, Vmr3s: ~če, Vmr3p: ~ku, Vmm1p: ~cimo, Vmm2s: ~ci, Vmm2p: ~cite, Vma1s: ~koh, Vma1p: ~kosmo, Vma2s: ~če, Vma2p: ~koste, Vma3s: ~če, Vma3p: ~koše	37	stući~~~Vm, navući~~~Vm, dotući~~~Vm, napeći~~~Vm, ispeći~~~Vm, zapeći~~~Vm, istući~~~Vm, proisteći~~~Vm, otući~~~Vm, zatući~~~Vm
P_hrLex_Vm_77	22	Vmn: ~st|~sti, Vmp-sm: ~o|~zao, Vmp-sf: ~la|~zla, Vmp-sn: ~lo|~zlo, Vmp-pm: ~li|~zli, Vmp-pf: ~le|~zle, Vmp-pn: ~la|~zla, Vmr1s: ~dem|~zem, Vmr1p: ~demo|~zemo, Vmr2s: ~deš|~zeš, Vmr2p: ~dete|~zete, Vmr3s: ~de|~ze, Vmr3p: ~du|~zu, Vmm1p: ~dimo|~zimo, Vmm2s: ~di|~zi, Vmm2p: ~dite|~zite, Vma1s: ~doh, Vma1p: ~dosmo, Vma2s: ~de, Vma2p: ~doste, Vma3s: ~de, Vma3p: ~doše	7	dovesti~~~Vm, izvesti~~~Vm, navesti~~~Vm, odvesti~~~Vm, povesti~~~Vm, prevesti~~~Vm, provesti~~~Vm
P_hrLex_Ap_6	53	Appmsnn: ~den|~zen, Appmsny: ~deni|~zeni, Appmsgn: ~dena|~zena, Appmsgy: ~denog|~denoga|~zenog|~zenoga, Appmsdn: ~denu|~zenu, Appmsdy: ~denom|~denome|~denomu|~zenom|~zenome|~zenomu, Appmsann: ~den|~zen, Appmsany: ~dena|~zena, Appmsayn: ~deni|~zeni, Appmsayy: ~denog|~denoga|~zenog|~zenoga, Appmsvn: ~den|~zen, Appmsvy: ~deni|~zeni, Appmsln: ~denu|~zenu, Appmsly: ~denom|~denome|~denomu|~zenom|~zenome|~zenomu, Appmsiy: ~denim|~zenim, Appmpny: ~deni|~zeni, Appmpgy: ~denih|~zenih, Appmpdy: ~denim|~denima|~zenim|~zenima, Appmpay: ~dene|~zene, Appmpvy: ~deni|~zeni, Appmply: ~denim|~denima|~zenim|~zenima, Appmpiy: ~denim|~denima|~zenim|~zenima, Appfsny: ~dena|~zena, Appfsgy: ~dene|~zene, Appfsdy: ~denoj|~zenoj, Appfsay: ~denu|~zenu, Appfsvy: ~dena|~zena, Appfsly: ~denoj|~zenoj, Appfsiy: ~denom|~zenom, Appfpny: ~dene|~zene, Appfpgy: ~denih|~zenih, Appfpdy: ~denim|~denima|~zenim|~zenima, Appfpay: ~dene|~zene, Appfpvy: ~dene|~zene, Appfply: ~denim|~denima|~zenim|~zenima, Appfpiy: ~denim|~denima|~zenim|~zenima, Appnsny: ~deno|~zeno, Appnsgn: ~dena|~zena, Appnsgy: ~denog|~denoga|~zenog|~zenoga, Appnsdn: ~denu|~zenu, Appnsdy: ~denom|~denome|~denomu|~zenom|~zenome|~zenomu, Appnsay: ~deno|~zeno, Appnsvy: ~deno|~zeno, Appnsln: ~denu|~zenu, Appnsly: ~denom|~denome|~denomu|~zenom|~zenome|~zenomu, Appnsiy: ~denim|~zenim, Appnpny: ~dena|~zena, Appnpgy: ~denih|~zenih, Appnpdy: ~denim|~denima|~zenim|~zenima, Appnpay: ~dena|~zena, Appnpvy: ~dena|~zena, Appnply: ~denim|~denima|~zenim|~zenima, Appnpiy: ~denim|~denima|~zenim|~zenima	7	dovesti~~~Ap, izvesti~~~Ap, navesti~~~Ap, odvesti~~~Ap, povesti~~~Ap, prevesti~~~Ap, provesti~~~Ap
P_hrLex_Rr_12	1	Rr: ~vši|~zavši	7	dovesti~~~Rr, izvesti~~~Rr, navesti~~~Rr, odvesti~~~Rr, povesti~~~Rr, prevesti~~~Rr, provesti~~~Rr
P_hrLex_Vm_78	6	Vma1s: ~oh, Vma1p: ~osmo, Vma2s: ~e, Vma2p: ~oste, Vma3s: ~e, Vma3p: ~oše	19	progrivati~~~Vm, izvevati~~~Vm, dovevati~~~Vm, izmuvati~~~Vm, zagrivati~~~Vm, prevevati~~~Vm, pomuvati~~~Vm, ugrivati~~~Vm, povevati~~~Vm, izgrivati~~~Vm
P_hrLex_Vm_79	22	Vmn: ~t|~ti, Vmp-sm: ~o, Vmp-sf: ~la, Vmp-sn: ~lo, Vmp-pm: ~li, Vmp-pf: ~le, Vmp-pn: ~la, Vmr1s: ~m, Vmr1p: ~mo, Vmr2s: ~š, Vmr2p: ~te, Vmr3s: ~Ø, Vmr3p: ~ju, Vmm1p: ~jmo, Vmm2s: ~j, Vmm2p: ~jte, Vma1s: ~doh|~h, Vma1p: ~dosmo|~smo, Vma2s: ~Ø|~de, Vma2p: ~doste|~ste, Vma3s: ~Ø|~de, Vma3p: ~doše|~še	4	doznati~~~Vm, nagnati~~~Vm, priznati~~~Vm, prodati~~~Vm
P_hrLex_Vm_80	22	Vmn: ~vat|~vati, Vmp-sm: ~vao, Vmp-sf: ~vala, Vmp-sn: ~valo, Vmp-pm: ~vali, Vmp-pf: ~vale, Vmp-pn: ~vala, Vmr1s: ~ovem, Vmr1p: ~ovemo, Vmr2s: ~oveš, Vmr2p: ~ovete, Vmr3s: ~ove, Vmr3p: ~ovu, Vmm1p: ~ovimo, Vmm2s: ~ovi, Vmm2p: ~ovite, Vma1s: ~vah, Vma1p: ~vasmo, Vma2s: ~va, Vma2p: ~vaste, Vma3s: ~va, Vma3p: ~vaše	13	zazvati~~~Vm, pozvati~~~Vm, izazvati~~~Vm, dozvati~~~Vm, prozvati~~~Vm, prizvati~~~Vm, opozvati~~~Vm, othrvati~~~Vm, sazvati~~~Vm, odzvati~~~Vm
P_hrLex_Vm_81	22	Vmn: ~ijet|~ijeti, Vmp-sm: ~o, Vmp-sf: ~la, Vmp-sn: ~lo, Vmp-pm: ~li, Vmp-pf: ~le, Vmp-pn: ~la, Vmr1s: ~em, Vmr1p: ~emo, Vmr2s: ~eš, Vmr2p: ~ete, Vmr3s: ~e, Vmr3p: ~u, Vmm1p: ~imo, Vmm2s: ~i, Vmm2p: ~ite, Vma1s: ~ijeh, Vma1p: ~ijesmo, Vma2s: ~ije, Vma2p: ~ijeste, Vma3s: ~ije, Vma3p: ~iješe	12	proždrijeti~~~Vm, izumrijeti~~~Vm, dozrijeti~~~Vm, zadrijeti~~~Vm, uzavrijeti~~~Vm, pomrijeti~~~Vm, premrijeti~~~Vm, zamrijeti~~~Vm, oduprijeti~~~Vm, sazrijeti~~~Vm
P_hrLex_Vm_82	22	Vmn: ~ći, Vmp-sm: ~šao, Vmp-sf: ~šla, Vmp-sn: ~šlo, Vmp-pm: ~šli, Vmp-pf: ~šle, Vmp-pn: ~šla, Vmr1s: ~đem, Vmr1p: ~đemo, Vmr2s: ~đeš, Vmr2p: ~đete, Vmr3s: ~đe, Vmr3p: ~đu, Vmm1p: ~đimo, Vmm2s: ~đi, Vmm2p: ~đite, Vma1s: ~đoh, Vma1p: ~đosmo, Vma2s: ~đe, Vma2p: ~đoste, Vma3s: ~đe, Vma3p: ~đoše	26	zaobići~~~Vm, pronaći~~~Vm, iznaći~~~Vm, doći~~~Vm, izići~~~Vm, sići~~~Vm, izaći~~~Vm, uzaći~~~Vm, ući~~~Vm, prići~~~Vm
P_hrLex_Vm_83	22	Vmn: ~et|~eti, Vmp-sm: ~eo, Vmp-sf: ~ela, Vmp-sn: ~elo, Vmp-pm: ~eli, Vmp-pf: ~ele, Vmp-pn: ~ela, Vmr1s: ~nem, Vmr1p: ~nemo, Vmr2s: ~neš, Vmr2p: ~nete, Vmr3s: ~ne, Vmr3p: ~nu, Vmm1p: ~nimo, Vmm2s: ~ni, Vmm2p: ~nite, Vma1s: ~eh, Vma1p: ~esmo, Vma2s: ~e, Vma2p: ~este, Vma3s: ~e, Vma3p: ~eše	15	zapeti~~~Vm, propeti~~~Vm, napeti~~~Vm, dočeti~~~Vm, začeti~~~Vm, razapeti~~~Vm, uspeti~~~Vm, sapeti~~~Vm, raspeti~~~Vm, načeti~~~Vm
P_hrLex_Npm_96	14	Npmsn: ~Ø, Npmsg: ~a, Npmsd: ~u, Npmsay: ~a, Npmsv: ~Ø|~e|~u, Npmsl: ~u, Npmsi: ~om, Npmpn: ~i, Npmpg: ~a, Npmpd: ~ima, Npmpa: ~o, Npmpv: ~i, Npmpl: ~ima, Npmpi: ~ima	5	Dragan~~~Npm, Ludvik~~~Npm, Novak~~~Npm, Urban~~~Npm, Štefan~~~Npm
P_hrLex_Npm_97	7	Npmsn: ~i, Npmsg: ~og, Npmsd: ~om|~ome, Npmsay: ~og, Npmsv: ~i, Npmsl: ~om|~ome, Npmsi: ~im|~ime	4	Dragomili~~~Npm, Miljeni~~~Npm, Slađani~~~Npm, Željeni~~~Npm
P_hrLex_Npm_98	14	Npmsn: ~ac, Npmsg: ~ca, Npmsd: ~cu, Npmsay: ~ca, Npmsv: ~če, Npmsl: ~cu, Npmsi: ~cem|~com, Npmpn: ~ci, Npmpg: ~aca, Npmpd: ~cima, Npmpa: ~ce, Npmpv: ~ci, Npmpl: ~cima, Npmpi: ~cima	1	Drakovac~~~Npm
P_hrLex_Ag_35	139	Agpmsnn: ~stan, Agpmsny: ~sni, Agpmsgn: ~sna, Agpmsgy: ~snog|~snoga, Agpmsdn: ~snu, Agpmsdy: ~snom|~snome|~snomu, Agpmsann: ~stan, Agpmsany: ~sna, Agpmsayn: ~sni, Agpmsayy: ~snog|~snoga, Agpmsvn: ~stan, Agpmsvy: ~sni, Agpmsln: ~snu, Agpmsly: ~snom|~snome|~snomu, Agpmsiy: ~snim, Agpmpny: ~sni, Agpmpgy: ~snih, Agpmpdy: ~snim|~snima, Agpmpay: ~sne, Agpmpvy: ~sni, Agpmply: ~snim|~snima, Agpmpiy: ~snim|~snima, Agpfsny: ~sna, Agpfsgy: ~sne, Agpfsdy: ~snoj, Agpfsay: ~snu, Agpfsvy: ~sna, Agpfsly: ~snoj, Agpfsiy: ~snom, Agpfpny: ~sne, Agpfpgy: ~snih, Agpfpdy: ~snim|~snima, Agpfpay: ~sne, Agpfpvy: ~sne, Agpfply: ~snim|~snima, Agpfpiy: ~snim|~snima, Agpnsny: ~sno, Agpnsgn: ~sna, Agpnsgy: ~snog|~snoga, Agpnsdn: ~snu, Agpnsdy: ~snom|~snome|~snomu, Agpnsay: ~sno, Agpnsvy: ~sno, Agpnsln: ~snu, Agpnsly: ~snom|~snome|~snomu, Agpnsiy: ~snim, Agpnpny: ~sna, Agpnpgy: ~snih, Agpnpdy: ~snim|~snima, Agpnpay: ~sna, Agpnpvy: ~sna, Agpnply: ~snim|~snima, Agpnpiy: ~snim|~snima, Agcmsny: ~sniji, Agcmsgy: ~snijeg|~snijega, Agcmsdy: ~snijem|~snijemu, Agcmsayn: ~sniji, Agcmsayy: ~snijeg|~snijega, Agcmsvy: ~sniji, Agcmsly: ~snijem|~snijemu, Agcmsiy: ~snijim, Agcmpny: ~sniji, Agcmpgy: ~snijih, Agcmpdy: ~snijim|~snijima, Agcmpay: ~snije, Agcmpvy: ~sniji, Agcmply: ~snijim|~snijima, Agcmpiy: ~snijim|~snijima, Agcfsny: ~snija, Agcfsgy: ~snije, Agcfsdy: ~snijoj, Agcfsay: ~sniju, Agcfsvy: ~snija, Agcfsly: ~snijoj, Agcfsiy: ~snijom, Agcfpny: ~snije, Agcfpgy: ~snijih, Agcfpdy: ~snijim|~snijima, Agcfpay: ~snije, Agcfpvy: ~snije, Agcfply: ~snijim|~snijima, Agcfpiy: ~snijim|~snijima, Agcnsny: ~snije, Agcnsgy: ~snijeg|~snijega, Agcnsdy: ~snijem|~snijemu, Agcnsay: ~snije, Agcnsvy: ~snije, Agcnsly: ~snijem|~snijemu, Agcnsiy: ~im, Agcnpny: ~snija, Agcnpgy: ~snijih, Agcnpdy: ~snijim|~snijima, Agcnpay: ~snija, Agcnpvy: ~snija, Agcnply: ~snijim|~snijima, Agcnpiy: ~snijim|~snijima, Agsmsny: ~sniji, Agsmsgy: ~snijeg|~snijega, Agsmsdy: ~snijem|~snijemu, Agsmsayn: ~sniji, Agsmsayy: ~snijeg|~snijega, Agsmsvy: ~sniji, Agsmsly: ~snijem|~snijemu, Agsmsiy: ~snijim, Agsmpny: ~sniji, Agsmpgy: ~snijih, Agsmpdy: ~snijim|~snijima, Agsmpay: ~snije, Agsmpvy: ~sniji, Agsmply: ~snijim|~snijima, Agsmpiy: ~snijim|~snijima, Agsfsny: ~snija, Agsfsgy: ~snije, Agsfsdy: ~snijoj, Agsfsay: ~sniju, Agsfsvy: ~snija, Agsfsly: ~snijoj, Agsfsiy: ~snijom, Agsfpny: ~snije, Agsfpgy: ~snijih, Agsfpdy: ~snijim|~snijima, Agsfpay: ~snije, Agsfpvy: ~snije, Agsfply: ~snijim|~snijima, Agsfpiy: ~snijim|~snijima, Agsnsny: ~snije, Agsnsgy: ~snijeg|~snijega, Agsnsdy: ~snijem|~snijemu, Agsnsay: ~snije, Agsnsvy: ~snije, Agsnsly: ~snijem|~snijemu, Agsnsiy: ~im, Agsnpny: ~snija, Agsnpgy: ~snijih, Agsnpdy: ~snijim|~snijima, Agsnpay: ~snija, Agsnpvy: ~snija, Agsnply: ~snijim|~snijima, Agsnpiy: ~snijim|~snijima	36	svakovrstan~~~Ag, napastan~~~Ag, dražestan~~~Ag, mastan~~~Ag, jarostan~~~Ag, revnostan~~~Ag, robustan~~~Ag, vrstan~~~Ag, koristan~~~Ag, samilostan~~~Ag
P_hrLex_Vm_84	22	Vmn: ~htat|~htati, Vmp-sm: ~htio, Vmp-sf: ~htjela, Vmp-sn: ~htjelo, Vmp-pm: ~htjeli, Vmp-pf: ~htjele, Vmp-pn: ~htjela, Vmr1s: ~htim|~šćem, Vmr1p: ~htimo|~šćemo, Vmr2s: ~htiš|~šćeš, Vmr2p: ~htite|~šćete, Vmr3s: ~hti|~šće, Vmr3p: ~hte|~šću, Vmm1p: ~htimo|~šćimo, Vmm2s: ~hti|~šći, Vmm2p: ~htite|~šćite, Vme1s: ~šćah, Vme1p: ~šćasmo, Vme2s: ~šćaše, Vme2p: ~šćaste, Vme3s: ~šćaše, Vme3p: ~šćahu	1	drhtati~~~Vm
