pattern_id	nr_of_msds_in_pattern	pattern	freq	examples
P_hrLex_Npm_3	14	Npmsn: ~a, Npmsg: ~e, Npmsd: ~i, Npmsay: ~u, Npmsv: ~a|~o, Npmsl: ~i, Npmsi: ~om, Npmpn: ~e, Npmpg: ~a, Npmpd: ~ima, Npmpa: ~e, Npmpv: ~e, Npmpl: ~ima, Npmpi: ~ima	438	Đumija~~~Npm, Mućurlija~~~Npm, Djuderija~~~Npm, Adžija~~~Npm, Celija~~~Npm, Šerbeđija~~~Npm, Skeledžija~~~Npm, Batalija~~~Npm, Zahija~~~Npm, Ćupurdija~~~Npm
P_hrLex_Npm_4	14	Npmsn: ~Ø, Npmsg: ~a, Npmsd: ~u, Npmsay: ~a, Npmsv: ~u, Npmsl: ~u, Npmsi: ~em, Npmpn: ~i, Npmpg: ~a, Npmpd: ~ima, Npmpa: ~e, Npmpv: ~i, Npmpl: ~ima, Npmpi: ~ima	24814	Notesberg~~~Npm, Djuretić~~~Npm, Alićehajić~~~Npm, Cepernić~~~Npm, Steinhauzer~~~Npm, Bazmenjak~~~Npm, Zećiraj~~~Npm, Čikoš~~~Npm, Burgler~~~Npm, Culifaj~~~Npm
P_hrLex_Npm_5	14	Npmsn: ~Ø, Npmsg: ~ja, Npmsd: ~ju, Npmsay: ~ja, Npmsv: ~Ø, Npmsl: ~ju, Npmsi: ~jom, Npmpn: ~ji, Npmpg: ~ja, Npmpd: ~jima, Npmpa: ~je, Npmpv: ~ji, Npmpl: ~jima, Npmpi: ~jima	2848	Orgony~~~Npm, Chersi~~~Npm, Ajdini~~~Npm, Borjoli~~~Npm, Tapšonji~~~Npm, Bahtijari~~~Npm, Đusi~~~Npm, Žadanji~~~Npm, Blandini~~~Npm, Brunetti~~~Npm
P_hrLex_Ncm_1	14	Ncmsn: ~Ø, Ncmsg: ~a, Ncmsd: ~u, Ncmsan: ~Ø, Ncmsv: ~e, Ncmsl: ~u, Ncmsi: ~om, Ncmpn: ~i, Ncmpg: ~a|~â, Ncmpd: ~ima, Ncmpa: ~e, Ncmpv: ~i, Ncmpl: ~ima, Ncmpi: ~ima	3600	tiftin~~~Ncm, metronidazol~~~Ncm, dipol~~~Ncm, afinitet~~~Ncm, certifikat~~~Ncm, turbogenerator~~~Ncm, poduhvat~~~Ncm, apoen~~~Ncm, recitativ~~~Ncm, robot-portret~~~Ncm
P_hrLex_Npm_6	14	Npmsn: ~Ø, Npmsg: ~a, Npmsd: ~u, Npmsay: ~a, Npmsv: ~e, Npmsl: ~u, Npmsi: ~om, Npmpn: ~i, Npmpg: ~a, Npmpd: ~ima, Npmpa: ~e, Npmpv: ~i, Npmpl: ~ima, Npmpi: ~ima	8744	Trnjanin~~~Npm, Fridman~~~Npm, Andjan~~~Npm, Dukan~~~Npm, Bešir~~~Npm, Dokonal~~~Npm, Epet~~~Npm, Poljugan~~~Npm, Kreštan~~~Npm, Bajtl~~~Npm
P_hrLex_Npm_7	14	Npmsn: ~a, Npmsg: ~e, Npmsd: ~i, Npmsay: ~u, Npmsv: ~a, Npmsl: ~i, Npmsi: ~om, Npmpn: ~e, Npmpg: ~a, Npmpd: ~ama, Npmpa: ~e, Npmpv: ~e, Npmpl: ~ama, Npmpi: ~ama	4056	Šulava~~~Npm, Tovarlaža~~~Npm, Lada~~~Npm, Capa~~~Npm, Andraka~~~Npm, Briškoska~~~Npm, Šakota~~~Npm, Škorvaga~~~Npm, Škarda~~~Npm, Vejmelka~~~Npm
P_hrLex_Npm_8	14	Npmsn: ~Ø, Npmsg: ~a, Npmsd: ~u, Npmsay: ~a, Npmsv: ~Ø|~u, Npmsl: ~u, Npmsi: ~em, Npmpn: ~i, Npmpg: ~a, Npmpd: ~ima, Npmpa: ~e, Npmpv: ~i, Npmpl: ~ima, Npmpi: ~ima	1418	Polić~~~Npm, Dreković~~~Npm, Aleksandrović~~~Npm, Dapić~~~Npm, Tunović~~~Npm, Bačinović~~~Npm, Šarović~~~Npm, Cukarić~~~Npm, Demirović~~~Npm, Milošević~~~Npm
P_hrLex_Npm_9	14	Npmsn: ~in, Npmsg: ~ina, Npmsd: ~inu, Npmsay: ~ina, Npmsv: ~ine, Npmsl: ~inu, Npmsi: ~inom, Npmpn: ~i, Npmpg: ~a, Npmpd: ~ima, Npmpa: ~e, Npmpv: ~i, Npmpl: ~ima, Npmpi: ~ima	55	Subotičanin~~~Npm, Jelšanin~~~Npm, Bečanin~~~Npm, Abderićanin~~~Npm, Benkovčanin~~~Npm, Ljubljančanin~~~Npm, Američanin~~~Npm, Norvežanin~~~Npm, Parižanin~~~Npm, Virovitičanin~~~Npm
P_hrLex_Vm_1	28	Vmn: ~t|~ti, Vmp-sm: ~o, Vmp-sf: ~la, Vmp-sn: ~lo, Vmp-pm: ~li, Vmp-pf: ~le, Vmp-pn: ~la, Vmr1s: ~m, Vmr1p: ~mo, Vmr2s: ~š, Vmr2p: ~te, Vmr3s: ~Ø, Vmr3p: ~ju, Vmm1p: ~jmo, Vmm2s: ~j, Vmm2p: ~jte, Vma1s: ~h, Vma1p: ~smo, Vma2s: ~Ø, Vma2p: ~ste, Vma3s: ~Ø, Vma3p: ~še, Vme1s: ~h, Vme1p: ~smo, Vme2s: ~še, Vme2p: ~ste, Vme3s: ~še, Vme3p: ~hu	1127	rekapitalizirati~~~Vm, diskontinuirati~~~Vm, aklimatizirati~~~Vm, denuncirati~~~Vm, asocirati~~~Vm, demilitarizirati~~~Vm, destimulirati~~~Vm, optimalizirati~~~Vm, invertirati~~~Vm, anastomozirati~~~Vm
P_hrLex_Rr_1	1	Rr: ~jući|~vši	1136	reinkarnirati~~~Rr, diskontinuirati~~~Rr, aklimatizirati~~~Rr, denuncirati~~~Rr, asocirati~~~Rr, demilitarizirati~~~Rr, destimulirati~~~Rr, operirati~~~Rr, inventarizirati~~~Rr, anastomozirati~~~Rr
P_hrLex_Ncn_1	14	Ncnsn: ~e, Ncnsg: ~a, Ncnsd: ~u, Ncnsa: ~e, Ncnsv: ~e, Ncnsl: ~u, Ncnsi: ~em, Ncnpn: ~a, Ncnpg: ~a|~â, Ncnpd: ~ima, Ncnpa: ~a, Ncnpv: ~a, Ncnpl: ~ima, Ncnpi: ~ima	5405	razaranje~~~Ncn, izdanje~~~Ncn, avansiranje~~~Ncn, hlapljenje~~~Ncn, utemeljenje~~~Ncn, deaktiviranje~~~Ncn, građenje~~~Ncn, infiltriranje~~~Ncn, potkrovlje~~~Ncn, nespominjanje~~~Ncn
P_hrLex_Ncf_1	14	Ncfsn: ~a, Ncfsg: ~e, Ncfsd: ~i, Ncfsa: ~u, Ncfsv: ~o, Ncfsl: ~i, Ncfsi: ~om, Ncfpn: ~e, Ncfpg: ~a|~â, Ncfpd: ~ama, Ncfpa: ~e, Ncfpv: ~e, Ncfpl: ~ama, Ncfpi: ~ama	6047	oplata~~~Ncf, drača~~~Ncf, akrobacija~~~Ncf, depilacija~~~Ncf, saturacija~~~Ncf, autarhija~~~Ncf, uklija~~~Ncf, vjeresija~~~Ncf, dekompozicija~~~Ncf, diferencija~~~Ncf
P_hrLex_Ncm_2	14	Ncmsn: ~t, Ncmsg: ~ta, Ncmsd: ~tu, Ncmsay: ~ta, Ncmsv: ~te, Ncmsl: ~tu, Ncmsi: ~tom, Ncmpn: ~ti, Ncmpg: ~ata, Ncmpd: ~tima, Ncmpa: ~te, Ncmpv: ~ti, Ncmpl: ~tima, Ncmpi: ~tima	65	rekonvalescent~~~Ncm, disident~~~Ncm, abdikant~~~Ncm, arhitekt~~~Ncm, sekundant~~~Ncm, pretendent~~~Ncm, korespondent~~~Ncm, apelant~~~Ncm, ministrant~~~Ncm, muzikant~~~Ncm
P_hrLex_Npm_10	7	Npmsn: ~Ø, Npmsg: ~ja, Npmsd: ~ju, Npmsay: ~ja, Npmsv: ~Ø, Npmsl: ~ju, Npmsi: ~jom	366	Nuri~~~Npm, Duini~~~Npm, Abdilkadri~~~Npm, Buđoni~~~Npm, Vefki~~~Npm, Anatoli~~~Npm, Đimi~~~Npm, Šekri~~~Npm, Bitiqi~~~Npm, Dejvi~~~Npm
P_hrLex_Npm_11	7	Npmsn: ~k, Npmsg: ~ka, Npmsd: ~ku, Npmsay: ~ka, Npmsv: ~če, Npmsl: ~ku, Npmsi: ~kom	50	Šefik~~~Npm, Merzuk~~~Npm, Elik~~~Npm, Abdilfaruk~~~Npm, Domenik~~~Npm, Rezak~~~Npm, Ashak~~~Npm, Tarik~~~Npm, Tofik~~~Npm, Donimik~~~Npm
P_hrLex_Ag_2	53	Agpmsnn: ~an, Agpmsny: ~ni, Agpmsgn: ~na, Agpmsgy: ~nog|~noga, Agpmsdn: ~nu, Agpmsdy: ~nom|~nome|~nomu, Agpmsann: ~an, Agpmsany: ~na, Agpmsayn: ~ni, Agpmsayy: ~nog|~noga, Agpmsvn: ~an, Agpmsvy: ~ni, Agpmsln: ~nu, Agpmsly: ~nom|~nome|~nomu, Agpmsiy: ~nim, Agpmpny: ~ni, Agpmpgy: ~nih, Agpmpdy: ~nim|~nima, Agpmpay: ~ne, Agpmpvy: ~ni, Agpmply: ~nim|~nima, Agpmpiy: ~nim|~nima, Agpfsny: ~na, Agpfsgy: ~ne, Agpfsdy: ~noj, Agpfsay: ~nu, Agpfsvy: ~na, Agpfsly: ~noj, Agpfsiy: ~nom, Agpfpny: ~ne, Agpfpgy: ~nih, Agpfpdy: ~nim|~nima, Agpfpay: ~ne, Agpfpvy: ~ne, Agpfply: ~nim|~nima, Agpfpiy: ~nim|~nima, Agpnsny: ~no, Agpnsgn: ~na, Agpnsgy: ~nog|~noga, Agpnsdn: ~nu, Agpnsdy: ~nom|~nome|~nomu, Agpnsay: ~no, Agpnsvy: ~no, Agpnsln: ~nu, Agpnsly: ~nom|~nome|~nomu, Agpnsiy: ~nim, Agpnpny: ~na, Agpnpgy: ~nih, Agpnpdy: ~nim|~nima, Agpnpay: ~na, Agpnpvy: ~na, Agpnply: ~nim|~nima, Agpnpiy: ~nim|~nima	1945	pretrajan~~~Ag, prejunačan~~~Ag, interdentalan~~~Ag, alternativan~~~Ag, fotoelektričan~~~Ag, tranzijentan~~~Ag, zapovjedan~~~Ag, vodonosan~~~Ag, prevoluminozan~~~Ag, preneurotičan~~~Ag
P_hrLex_Npm_12	7	Npmsn: ~a, Npmsg: ~e, Npmsd: ~i, Npmsay: ~u, Npmsv: ~a, Npmsl: ~i, Npmsi: ~om	152	Rameza~~~Npm, Daouda~~~Npm, Abdulla~~~Npm, Bushara~~~Npm, Šemsija~~~Npm, Andrea~~~Npm, Boriša~~~Npm, Croata~~~Npm, Mujaga~~~Npm, Ilja~~~Npm
P_hrLex_Npm_13	7	Npmsn: ~Ø, Npmsg: ~a, Npmsd: ~u, Npmsay: ~a, Npmsv: ~u, Npmsl: ~u, Npmsi: ~om	168	Oldrih~~~Npm, Daver~~~Npm, Abdulfetah~~~Npm, Blahauš~~~Npm, Vitouš~~~Npm, Aner~~~Npm, Belkijah~~~Npm, Bohouš~~~Npm, Ljudvek~~~Npm, Frančišek~~~Npm
