i	7345	123.09308715401342
ti	7214	123.42206154139195
ati	4449	128.0958571877569
iti	2163	118.38350467157792
vati	1564	121.45130623933409
rati	1108	137.70466030940935
irati	934	139.78927398942642
ivati	668	116.72095607210753
avati	508	126.72981069545408
uti	338	135.9274394133343
jati	319	131.32190182754567
nuti	317	135.65519252696689
ovati	307	134.22285382856074
titi	252	113.81152742238032
riti	234	118.62823412873236
tati	215	126.1161649970016
čiti	214	122.28615875553298
diti	199	111.66006912786717
kati	188	132.63175515474015
sati	182	139.98925036863662
liti	175	105.44729339669077
niti	170	100.93263665414878
viti	160	128.8194550776822
eti	152	43.11151012557384
ljati	137	137.11207866442132
isati	135	139.9854810089145
ći	131	104.70105173306361
žiti	118	133.26933274808823
dati	114	101.05177680100806
piti	112	96.58653218085647
pati	110	132.76890586015398
sti	108	119.53640120364793
šiti	107	115.56282099791872
jiti	95	139.97930544886663
zati	95	139.97930544886663
aviti	89	133.28683991993324
cati	89	128.764403899976
biti	89	115.10791334805165
stiti	80	89.99140158248211
siti	79	124.74743445323885
atiti	72	139.97260609329345
miti	69	137.09939795014705
čati	68	128.17970848784478
ijati	67	139.97053243123042
aditi	63	139.96863294828796
ačiti	63	130.44572104144808
ariti	62	136.76555762257166
šati	60	95.92965942438339
arati	59	139.96647178158443
ziti	59	139.96647178158443
esti	58	104.93957314876465
gnuti	55	136.344980831342
etati	54	117.38749447608996
knuti	53	139.9626074937794
oriti	53	139.9626074937794
mati	52	136.12932230591016
editi	52	41.04686020301962
ojiti	51	139.96111361739366
lati	51	136.0516751987857
gati	48	135.798876073329
bati	48	123.11191452389161
eći	46	49.851153596029526
eniti	46	42.66101320073215
učiti	45	139.9558186479966
aliti	44	135.4068546321814
njati	44	130.80915657454457
ezati	42	139.95259121887733
eliti	42	41.19027278904961
aziti	41	139.95140806915012
oditi	41	139.95140806915012
evati	39	36.369213937303265
očiti	37	117.91632512972609
ušiti	36	134.35369540285123
aniti	36	128.70534317590995
štati	36	89.07650146669225
upiti	35	139.94285171798555
oviti	33	121.43396036765135
ožiti	32	139.93733555175294
imati	32	133.6232433379274
nati	32	63.25933176904181
ajati	31	139.93525254874353
erati	31	60.94321493700893
ašiti	30	139.93302644448084
hati	30	139.93302644448084
užiti	30	139.93302644448084
inuti	29	139.93064198302866
edati	29	77.53383307657539
rnuti	28	139.92808166222304
urati	28	139.92808166222304
ući	28	139.92808166222304
icati	28	132.67664788413032
oliti	28	132.67664788413032
ljiti	27	139.92532530489754
rtati	27	139.92532530489754
ići	27	132.3946022673568
deti	27	80.49456416098825
žati	26	132.09007078303543
enuti	26	99.99882272475605
epiti	26	84.05095876496694
akati	25	139.91912708083902
itati	25	139.91912708083902
snuti	25	139.91912708083902
uvati	25	139.91912708083902
idati	25	131.76026632347927
opiti	25	123.48348381278481
ćati	25	106.92798757580599
agati	24	139.9156260108045
izati	24	139.9156260108045
ucati	24	139.9156260108045
uditi	24	139.9156260108045
utiti	24	139.9156260108045
abiti	24	131.4019236585438
etiti	24	58.32109339917916
ečiti	24	44.77841182682491
ažiti	23	139.9118086062311
ositi	23	139.9118086062311
adati	23	131.01119284746702
initi	23	131.01119284746702
eriti	23	59.89337341861282
đati	22	121.1222637472395
apati	21	139.90303660527488
ičiti	21	139.90303660527488
uriti	21	130.113386031109
obiti	21	120.17990623727354
neti	21	90.71803531000809
reti	21	56.17677413826732
azati	20	139.8979634191806
esati	20	139.8979634191806
ubiti	20	139.8979634191806
upati	20	139.8979634191806
znuti	20	139.8979634191806
leti	20	79.15340891524968
asiti	19	139.89233134732515
asti	19	139.89233134732515
ipati	19	139.89233134732515
skati	19	139.89233134732515
triti	19	117.98702176134195
aći	18	139.88604287997262
ikati	18	139.88604287997262
iriti	18	139.88604287997262
rčati	18	139.88604287997262
uhati	18	139.88604287997262
ebati	18	128.3749616830291
hnuti	18	128.3749616830291
oniti	18	128.3749616830291
štiti	18	105.23026005394406
ešati	18	52.616664275501414
rčiti	17	139.87897648050813
tnuti	17	139.87897648050813
teti	17	66.82465967355127
ejati	17	55.775211701645674
vesti	17	55.775211701645674
aćati	16	139.87097871850798
brati	16	139.87097871850798
cnuti	16	139.87097871850798
vući	16	139.87097871850798
rkati	16	126.83584856283505
ežiti	16	88.02704320571729
atati	15	139.86185310361904
ititi	15	139.86185310361904
opati	15	139.86185310361904
rpati	15	139.86185310361904
uniti	15	139.86185310361904
sliti	15	125.90477881958061
ešiti	15	41.16283147547351
emiti	14	139.85134388931678
ojati	14	139.85134388931678
omiti	14	139.85134388931678
ukati	14	139.85134388931678
driti	14	124.83407121479827
ckati	14	94.57122525860959
esiti	14	55.66183036287204
kriti	14	52.48755985052685
aciti	13	139.839111996768
citi	13	139.839111996768
iviti	13	139.839111996768
ršiti	13	139.839111996768
stati	13	139.839111996768
tkati	13	139.839111996768
utati	13	139.839111996768
ušati	13	139.839111996768
čkati	13	139.839111996768
pkati	13	123.59028228469047
seći	13	123.59028228469046
ćiti	13	107.43308501630955
peti	13	46.65820278258769
ađati	12	139.82469820762944
išati	12	139.82469820762944
otati	12	139.82469820762944
pčati	12	139.82469820762944
rcati	12	139.82469820762944
resti	12	139.82469820762944
suti	12	139.82469820762944
psti	12	122.12855032211881
ideti	12	104.61987452678459
ecati	12	70.03449852449394
epati	12	70.03449852449394
odati	12	54.367358462055115
apiti	11	139.80746504559679
emati	11	139.80746504559679
ibati	11	139.80746504559679
iliti	11	139.80746504559679
iveti	11	139.80746504559679
lesti	11	139.80746504559679
oziti	11	139.80746504559679
rasti	11	139.80746504559679
ržiti	11	139.80746504559679
tući	11	139.80746504559679
veti	11	139.80746504559679
ekati	11	100.94059769483799
nčati	11	64.00663127828358
amiti	10	139.78650148364588
asati	10	139.78650148364588
ačati	10	139.78650148364588
ičati	10	139.78650148364588
njiti	10	139.78650148364588
orati	10	139.78650148364588
rditi	10	139.78650148364588
zvati	10	139.78650148364588
dići	10	118.28022306591278
znati	10	57.028822247366286
unati	10	39.96763991641723
