i	10209	80.08868537139695
ki	7477	86.92730668710676
n	6825	29.508843043529307
ski	5337	92.20759832591992
an	5259	42.080828263065875
ni	2154	86.71761493303485
v	1739	50.31380221874532
čki	1674	71.7396955169017
en	1486	67.2823581251513
nski	1437	93.51078116548791
jski	1258	107.84319935091565
iv	1257	52.22805607009176
ički	1135	65.57729146961017
t	1008	53.91134839674852
rski	986	84.59961742465303
ran	928	26.698519358863045
ijski	919	110.82850499347535
jiv	728	50.11660800832245
čan	697	55.20398940340725
tan	691	46.315877907308945
lan	682	45.60328051123866
van	620	46.077554899400376
ljiv	600	49.55321952680382
anski	565	98.67121245939121
tički	541	59.51609001282459
tski	516	76.90576167434838
alan	510	49.823247475832495
st	509	58.01939025716453
ast	488	58.83055368348413
ičan	487	58.844175513859554
ački	472	80.40805379885595
arski	445	77.86545958187497
av	435	47.67349344986991
ški	431	76.68360639540018
jen	420	67.3905559650583
iran	395	78.39836052186934
dan	394	52.63197319427929
nički	385	61.89543629238982
ivan	372	50.48339545181473
inski	360	90.7943187931522
tni	358	108.92803361550746
ći	280	172.9893359465013
k	280	32.58173513100722
tivan	279	51.868192401101
ljen	274	68.52540915595404
onski	266	90.45335897929803
it	256	47.32927883760983
vski	245	93.70024531163479
orski	233	84.67298345781953
lni	229	127.57020462873207
zan	225	40.57353406084639
vni	219	75.91010121063452
jan	217	44.50119711662911
erski	216	99.10125716044766
ntan	215	48.71065300686784
ji	203	170.0444352387042
tičan	201	59.919672658280774
mski	200	90.49044942586767
dni	198	78.48017930634254
aran	198	52.34658194162762
lski	195	95.81832983745194
ući	193	172.9845047025113
rni	191	90.66133987277118
dski	190	91.52511421313878
san	186	51.66891369556372
čni	182	83.0163530264368
enski	180	91.57403702678613
oški	180	50.25242469687197
jući	174	172.98280328162966
atski	170	77.18124056054896
alni	159	138.0848985548658
loški	159	49.886840612777966
oran	155	51.64058820686793
nji	153	171.02537014045544
o	145	25.083826776590705
vački	144	112.09512761436363
sni	143	62.63672541494065
ovski	142	88.76815838377803
vit	141	48.10854115269238
ren	136	69.28482418889341
žan	131	59.30413800950876
pski	129	81.996121026299
ajući	128	172.97657654334893
šan	127	45.140834682673194
etan	125	52.7957809659728
entan	125	50.72226731650838
aški	123	86.46483148389004
đen	123	72.98567304178884
ak	122	16.76448778445702
at	121	49.28237022431404
ovit	120	47.55362267372412
ljski	116	109.90198890993682
ilan	114	58.63032382637488
etski	112	74.51027822242953
ični	110	87.90111498206413
nalan	110	53.58968473981854
eni	107	114.17900491324356
šnji	105	172.97139856338129
njski	105	111.24710293919993
ven	105	77.42988479826299
tljiv	105	46.78008157949085
man	104	65.21153201334693
ozan	103	47.88965062591759
njiv	99	53.366362020101704
etni	98	111.83275930604186
žen	97	56.85365303562984
ovan	97	35.83148020959559
jni	96	70.21970120692
čen	95	71.65158305600279
fski	95	50.21184561522033
jalan	93	52.073448938352065
ziran	92	57.90707877705426
ut	89	63.07877596397973
avan	89	58.06037303503505
šen	88	60.665978546414216
odan	88	58.12578994266813
edan	88	54.54783648164145
ban	88	38.336198713180316
atan	87	82.08288079654646
njen	87	71.86649328581625
zni	87	68.70522981354009
kast	87	67.15430301148909
antan	87	61.67310835199531
riv	86	54.01588464488851
atni	85	109.32835526624774
afski	84	47.10473960791505
vljen	82	83.0327826749766
jački	81	61.59200922276649
žni	81	52.4339228861748
živ	80	57.384081010240735
stan	80	42.23446772121055
eran	78	56.78602945813748
ntski	77	77.12815927338228
arni	76	105.78470249573424
dljiv	76	49.01883036589977
ćen	75	65.26182985166575
div	75	56.39230706452784
nast	74	55.18578448766179
ben	73	61.809147089226734
ralan	73	47.82259074968732
ovni	72	81.73582046408315
ao	72	33.827217894115094
nut	71	57.34712705257105
išnji	68	172.95561574302667
idan	68	59.65738495142356
tiv	68	50.28193640728693
talan	68	46.53084667875025
rički	67	102.3208481994655
avni	67	66.3874403849934
šni	66	52.25777023662926
ljan	66	42.88319643763636
odni	65	66.58318388692105
ejski	64	84.5971326881049
opski	64	77.74689100299125
len	64	69.46766022780581
itski	64	59.09046100342885
ojan	64	48.97202770084058
laran	63	82.36402334620246
lav	63	54.07760225100439
čast	62	81.10573380236649
jast	62	47.07813879685801
tav	61	44.26311102588277
eći	59	172.94873540871376
avski	59	97.72130313504982
azan	58	47.26428183785109
amski	57	87.52285572411454
čav	57	54.863354888162924
asan	56	73.30997004381551
jeran	56	63.15556736869664
ajan	56	54.910625479262094
adski	55	84.88211246873144
unski	55	76.75180336048288
lački	55	67.48861411746117
ačan	55	59.94175795472536
ičav	55	51.599045467168345
oban	55	49.91831227861438
jav	55	48.143391430336486
tven	54	68.91409000698505
adan	54	66.38092799762902
men	54	53.49214229585138
bilan	53	67.29936435113464
rljiv	53	67.29936435113464
g	53	45.706374019817986
ten	52	69.83434903966783
vljiv	52	61.56076870519104
olski	51	87.81555513167848
utan	51	57.58813644074826
ik	51	54.771097975830884
pan	51	40.827907490063275
lik	50	56.364816630716994
zivan	50	50.161976417515795
omski	49	84.73424694084667
alski	49	71.7902466469009
ričan	49	61.01073967332225
kav	49	52.8775594960928
r	49	23.500375895569306
ajni	47	80.3101193255073
orni	47	75.44171077021879
irski	47	68.4234333737456
mljiv	47	48.365050045813426
ličan	46	63.60376366581105
učan	46	61.420415398698225
čiv	46	54.68344692495036
ujući	45	172.9324480051159
itni	45	140.0222169731325
išni	45	66.38243863891874
taran	45	61.65701305915344
ađen	44	80.180305718172
ničan	44	59.651038904469154
