ć	14973	148.9226325467934
ić	14813	148.67688922747493
vić	5688	143.36815126334005
a	5328	109.0288143293275
i	4846	60.2162380744583
k	4828	120.60101549865658
n	4530	111.20020815226704
r	4294	111.2557415822012
ović	4111	142.98472442073026
c	3199	49.011052086071224
o	2977	37.82456997547251
er	2343	158.54090451215015
an	1928	120.96689503997543
ek	1910	167.35698203211223
ki	1817	114.16851849731067
in	1718	109.48547012404421
ak	1670	171.61024913422762
l	1445	119.10603109152339
ević	1407	143.99602811677616
čić	1389	159.19957891892318
j	1385	145.06409639002737
ec	1382	147.32708159406405
ac	1356	163.06595109881383
ski	1296	114.346537396452
v	1163	127.50736758243511
nović	1157	139.46552726134277
ar	1151	146.8478742199009
t	1151	103.68711123293305
nić	1114	156.83091264989577
ković	1072	142.8432616210163
s	1017	108.72754534904323
š	1004	158.22250617222406
ja	969	42.3631174918685
e	934	37.64495210648195
ko	932	70.22509746166091
lić	914	152.29629863450205
rić	865	153.66598226435846
šić	859	149.98763333565424
ik	802	154.1043883046725
tić	750	154.04992041403372
č	738	171.6139379951227
h	722	110.19733707866558
ka	706	121.77646783950668
vski	662	97.0456984285121
aj	646	170.70815992948437
ov	643	177.01431828659005
jak	583	172.06624188284846
d	579	44.206302087208535
ni	546	145.4102965993473
ija	509	135.6639001427392
kić	505	141.02257319105934
jić	489	148.98064840256075
na	471	173.31724532268572
ovski	470	101.6480647538311
čević	442	150.73123033953536
anić	427	151.2072544032338
ca	425	116.90498954688118
ir	420	75.85650435450454
nik	417	166.73288180713288
ček	413	171.14526915245145
el	409	111.69773443200846
vac	406	161.11435934865602
li	406	144.74059650965492
ta	403	171.7514603023793
nac	402	175.63924463282018
ič	402	170.95867997766624
lj	401	153.29457316092308
dić	395	144.55349285035712
m	391	47.754374866302605
jević	389	140.99629947767775
y	388	60.51007304245211
la	386	161.0387013383601
lović	382	151.2802421596868
arić	380	158.3419642523674
z	380	122.32259333747584
man	377	152.5530812043654
ina	376	174.63933932848147
g	372	107.5317766911857
ch	367	170.28993128349887
rović	364	141.7866075231344
